"","State","Year","Total_EE_Investment","Political_Score","Disasters","Total population","Female","child","Median age (years)","Median household income (dollars)","Gas","Electricity"
"139","Texas  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Utah",2022,1285993644.2,69.04,NA,3380800,0.492,0.276,32.1,89168,0.811,0.17
"141","Utah  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Vermont",2022,740238541.47,76.32,NA,647064,0.504,0.176,43.2,73991,0.367,0.087
"143","Vermont  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Virginia",2022,3491514062.7,75.32,31,8683619,0.505,0.214,39,85873,0.366,0.576
"145","Virginia  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Washington",2022,3635918227.95,75.36,40,7785786,0.495,0.211,38.4,91306,0.362,0.583
"147","Washington  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","West Virginia",2022,1602935519.93,62.53,NA,1775156,0.503,0.198,42.9,54329,0.454,0.463
"149","West Virginia  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Wisconsin",2022,2409948401.58,73.72,NA,5892539,0.498,0.21,40.4,70996,0.767,0.177
"151","Wisconsin  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Wyoming",2022,688348814.65,62.73,NA,581381,0.488,0.223,39.1,70042,0.706,0.228
"153","Wyoming  Total",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Alabama",2023,2616267061.71,69.01,23,5108468,0.516,0.221,39.6,62212,0.307,0.676
"155","Alabama  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Alaska",2023,1817444960.24,71.61,11,733406,0.474,0.238,36.5,86631,0.515,0.138
"157","Alaska  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Arizona",2023,3488333363.56,73.19,3,7431344,0.501,0.213,39.3,77315,0.358,0.601
"159","Arizona  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Arkansas",2023,1648139646.77,68.58,16,3067732,0.507,0.229,38.9,58700,0.428,0.536
"161","Arkansas  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","California",2023,21411629440.86,76.3,179,38965193,0.501,0.217,38.2,95521,0.643,0.296
"163","California  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Colorado",2023,2982235759.47,74.75,14,5877610,0.493,0.206,37.9,92911,0.716,0.251
"165","Colorado  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Connecticut",2023,2490196284.92,77.92,NA,3617176,0.509,0.2,41.5,91665,0.432,0.192
"167","Connecticut  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Delaware",2023,810560231.75,73.81,NA,1031890,0.516,0.206,42,81361,0.513,0.38
"169","Delaware  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","District of Columbia",2023,1443662094.02,82.28,NA,678972,0.526,0.187,34.9,108210,0.468,0.496
"171","District of Columbia  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Florida",2023,7418329840.63,74.41,216,22610726,0.508,0.194,42.8,73311,0.065,0.899
"173","Florida  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Georgia",2023,4748788607.62,72.64,41,11029227,0.512,0.229,37.9,74632,0.409,0.577
"175","Georgia  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Hawaii",2023,979546778.79,76.13,7,1435138,0.499,0.205,41.4,95322,0.051,0.445
"177","Hawaii  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Idaho",2023,1044793710.98,70.58,NA,1964726,0.497,0.237,37.8,74942,0.565,0.359
"179","Idaho  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Illinois",2023,7005965831.38,77.63,23,12549689,0.506,0.216,39.5,80306,0.791,0.191
"181","Illinois  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Indiana",2023,3708879092.54,70.26,13,6862199,0.503,0.231,38.3,69477,0.656,0.314
"183","Indiana  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Iowa",2023,1975113665.31,69.77,7,3207004,0.5,0.226,39.1,71433,0.722,0.249
"185","Iowa  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Kansas",2023,1448714815.17,69.56,1,2940547,0.498,0.234,37.9,70333,0.703,0.273
"187","Kansas  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Kentucky",2023,2869008569.09,67.59,110,4526154,0.504,0.223,39.2,61118,0.411,0.555
"189","Kentucky  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Louisiana",2023,3214317457.03,69.07,10,4573749,0.511,0.232,38.7,58229,0.34,0.647
"191","Louisiana  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Maine",2023,1174245876.62,74,32,1395722,0.509,0.176,44.9,73733,0.222,0.128
"193","Maine  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Maryland",2023,3526800711.66,78.39,NA,6180253,0.515,0.22,39.8,98678,0.468,0.445
"195","Maryland  Total",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
